"Depósitos de ahorro, tasa bruta ponderada en por ciento anual",
Ruta temática,"Financiero y bursátil> Indicadores financieros y bursátiles> Tasas de interés bancarias> Depósitos de ahorro, tasa bruta ponderada en por ciento anual"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,Banco de México.
Nota," Tasa de interés bruta. Promedio ponderado  mensual de tasasbrutas  pactadas  en  operaciones  realizadas en el  mes  enventanilla  como  en  mesas de dinero, pagaderas a  personasfísicas y morales."
Fecha inicial,2015/06
Fecha final,1990/12
Última actualización,2015/08/04
Periodo,Dato
1990/12,20.72
1991/01,20.43
1991/02,15.19
1991/03,14.79
1991/04,13.66
1991/05,13.16
1991/06,12.62
1991/07,10.34
1991/08,9.25
1991/09,9.12
1991/10,8.85
1991/11,8.97
1991/12,8.89
1992/01,8.8
1992/02,8.75
1992/03,8.59
1992/04,8.48
1992/05,8.01
1992/06,7.98
1992/07,8.34
1992/08,8.62
1992/09,8.52
1992/10,8.49
1992/11,8.4
1992/12,8.36
1993/01,8.49
1993/02,8.55
1993/03,8.95
1993/04,8.53
1993/05,8.58
1993/06,8.41
1993/07,8.4
1993/08,8.42
1993/09,8.45
1993/10,8.02
1993/11,8.05
1993/12,8.07
1994/01,6.64
1994/02,6.09
1994/03,5.89
1994/04,5.56
1994/05,5.49
1994/06,5.51
1994/07,5.51
1994/08,5
1994/09,4.68
1994/10,4.7
1994/11,4.79
1994/12,4.72
1995/01,4.5
1995/02,4.74
1995/03,7.21
1995/04,9.94
1995/05,7.81
1995/06,7.17
1995/07,7.11
1995/08,7.15
1995/09,6.2
1995/10,6.03
1995/11,5.98
1995/12,6.19
1996/01,6.31
1996/02,6.45
1996/03,6.42
1996/04,6.39
1996/05,7.4
1996/06,7.36
1996/07,6.5
1996/08,6.54
1996/09,6.48
1996/10,6.06
1996/11,6.54
1996/12,6.47
1997/01,6.62
1997/02,7.57
1997/03,7.38
1997/04,7.37
1997/05,7.65
1997/06,7.62
1997/07,8.43
1997/08,8.53
1997/09,7.11
1997/10,7.52
1997/11,7.39
1997/12,7.65
1998/01,7.12
1998/02,6.59
1998/03,6.35
1998/04,6.18
1998/05,6.05
1998/06,6.07
1998/07,5.93
1998/08,5.97
1998/09,6.1
1998/10,6.57
1998/11,6.78
1998/12,6.85
1999/01,6.09
1999/02,6.44
1999/03,6.43
1999/04,6.09
1999/05,6.07
1999/06,5.8
1999/07,5.53
1999/08,5.66
1999/09,5.4
1999/10,5.54
1999/11,5.54
1999/12,5.69
2000/01,5.94
2000/02,5.65
2000/03,5.46
2000/04,5.44
2000/05,5.06
2000/06,4.8
2000/07,4.77
2000/08,4.36
2000/09,4.41
2000/10,4.23
2000/11,4.37
2000/12,3.84
2001/01,4.03
2001/02,3.93
2001/03,3.94
2001/04,3.69
2001/05,3.74
2001/06,3.4
2001/07,2.82
2001/08,2.58
2001/09,3.08
2001/10,2.83
2001/11,2.58
2001/12,2.46
2002/01,2.38
2002/02,2.34
2002/03,2.28
2002/04,2.37
2002/05,1.85
2002/06,1.81
2002/07,1.86
2002/08,1.89
2002/09,1.9
2002/10,1.79
2002/11,1.86
2002/12,1.68
2003/01,1.78
2003/02,1.6
2003/03,1.45
2003/04,1.71
2003/05,2.73
2003/06,2.76
2003/07,1.53
2003/08,1.29
2003/09,1.45
2003/10,1.29
2003/11,1.58
2003/12,1.45
2004/01,1.06
2004/02,1.05
2004/03,1.02
2004/04,0.97
2004/05,0.94
2004/06,0.94
2004/07,0.93
2004/08,0.94
2004/09,0.93
2004/10,0.94
2004/11,0.94
2004/12,0.93
2005/01,0.94
2005/02,0.95
2005/03,0.93
2005/04,0.95
2005/05,0.91
2005/06,0.93
2005/07,0.92
2005/08,0.92
2005/09,0.95
2005/10,0.91
2005/11,0.94
2005/12,0.94
2006/01,0.92
2006/02,0.95
2006/03,0.95
2006/04,0.94
2006/05,0.93
2006/06,0.94
2006/07,0.91
2006/08,0.92
2006/09,0.93
2006/10,0.91
2006/11,0.94
2006/12,0.9
2007/01,0.92
2007/02,0.95
2007/03,0.95
2007/04,0.94
2007/05,0.93
2007/06,0.96
2007/07,0.94
2007/08,0.95
2007/09,0.93
2007/10,0.94
2007/11,0.95
2007/12,0.92
2008/01,0.93
2008/02,1.17
2008/03,1.13
2008/04,1.15
2008/05,1.14
2008/06,1.13
2008/07,1.14
2008/08,1.11
2008/09,1.14
2008/10,1.13
2008/11,1.11
2008/12,1.12
2009/01,1.1
2009/02,1.21
2009/03,1.12
2009/04,1.14
2009/05,1.15
2009/06,1.13
2009/07,1.09
2009/08,1.09
2009/09,1.1
2009/10,1.09
2009/11,1.11
2009/12,1.08
2010/01,1.07
2010/02,1.09
2010/03,1.19
2010/04,1.08
2010/05,1.09
2010/06,0.98
2010/07,0.92
2010/08,0.94
2010/09,0.97
2010/10,0.96
2010/11,1
2010/12,0.96
2011/01,0.9
2011/02,0.7
2011/03,0.46
2011/04,0.65
2011/05,0.63
2011/06,0.57
2011/07,0.57
2011/08,0.57
2011/09,0.78
2011/10,0.61
2011/11,0.67
2011/12,0.85
2012/01,1.02
2012/02,0.94
2012/03,0.87
2012/04,0.68
2012/05,0.59
2012/06,0.58
2012/07,0.56
2012/08,2.71
2012/09,2.54
2012/10,2.79
2012/11,2.65
2012/12,2.64
2013/01,2.61
2013/02,2.56
2013/03,2.15
2013/04,2.52
2013/05,2.04
2013/06,1.82
2013/07,2.23
2013/08,2.24
2013/09,2.4
2013/10,2.32
2013/11,2.21
2013/12,2.32
2014/01,2.16
2014/02,2.17
2014/03,2.13
2014/04,2.18
2014/05,2.12
2014/06,2.1
2014/07,1.9
2014/08,1.7
2014/09,1.94
2014/10,1.95
2014/11,1.92
2014/12,1.98
2015/01,1.7
2015/02,1.77
2015/03,1.98
2015/04,1.91
2015/05,1.7
2015/06,1.86
