Corea,
Ruta temática,Financiero y bursátil> Indicadores financieros y bursátiles> Tasas de interés nominales> Mensual> Corea
Periodicidad,Mensual
Unidad de medida,Tasa de rendimiento anual
Fuente,Fondo Monetario Internacional. Estadísticas financieras internacionales.
Nota, Tasa  mínima  que  cobran  los  bancos  a las  empresas convencimiento máximo de un año.
Fecha inicial,2015/06
Fecha final,1993/01
Última actualización,2015/08/19
Periodo,Dato
1993/01,9
1993/02,7.26
1993/03,8.5
1993/04,8.5
1993/05,8.5
1993/06,8.5
1993/07,8.5
1993/08,8.5
1993/09,8.5
1993/10,8.5
1993/11,8.5
1993/12,8.5
1994/01,8.5
1994/02,8.5
1994/03,8.5
1994/04,8.5
1994/05,8.5
1994/06,8.5
1994/07,8.5
1994/08,8.5
1994/09,8.5
1994/10,8.5
1994/11,8.5
1994/12,8.5
1995/01,9
1995/02,9
1995/03,9
1995/04,9
1995/05,9
1995/06,9
1995/07,9
1995/08,9
1995/09,9
1995/10,9
1995/11,9
1995/12,9
1996/01,9
1996/02,9
1996/03,9
1996/04,8.8
1996/05,8.75
1996/06,8.75
1996/07,11.17
1996/08,11.03
1996/09,11.05
1996/10,11.12
1996/11,10.92
1996/12,11.1
1997/01,11.34
1997/02,11.33
1997/03,11.47
1997/04,11.49
1997/05,11.36
1997/06,11.38
1997/07,11.38
1997/08,11.6
1997/09,11.83
1997/10,11.71
1997/11,12.31
1997/12,15.32
1998/01,17.53
1998/02,17.12
1998/03,17.18
1998/04,17.14
1998/05,17.05
1998/06,16.59
1998/07,15.42
1998/08,14.88
1998/09,14.24
1998/10,12.9
1998/11,11.97
1998/12,11.33
1999/01,11.09
1999/02,10.75
1999/03,10.27
1999/04,9.76
1999/05,9.33
1999/06,9.06
1999/07,8.93
1999/08,8.86
1999/09,8.83
1999/10,8.71
1999/11,8.58
1999/12,8.58
2000/01,8.59
2000/02,8.64
2000/03,8.79
2000/04,8.61
2000/05,8.62
2000/06,8.49
2000/07,8.51
2000/08,8.41
2000/09,8.43
2000/10,8.51
2000/11,8.53
2000/12,8.41
2001/01,8.45
2001/02,8.34
2001/03,8.26
2001/04,8.1
2001/05,7.99
2001/06,7.89
2001/07,7.78
2001/08,7.51
2001/09,7.26
2001/10,7.09
2001/11,6.92
2001/12,6.91
2002/01,6.9
2002/02,6.78
2002/03,6.79
2002/04,6.82
2002/05,6.8
2002/06,6.78
2002/07,6.79
2002/08,6.72
2002/09,6.71
2002/10,6.77
2002/11,6.72
2002/12,6.65
2003/01,6.51
2003/02,6.39
2003/03,6.48
2003/04,6.41
2003/05,6.28
2003/06,6.24
2003/07,6.2
2003/08,6.03
2003/09,5.97
2003/10,6
2003/11,6.13
2003/12,6.2
2004/01,6.25
2004/02,6.09
2004/03,6.12
2004/04,6.02
2004/05,5.97
2004/06,6.06
2004/07,5.96
2004/08,5.81
2004/09,5.74
2004/10,5.71
2004/11,5.6
2004/12,5.52
2005/01,5.58
2005/02,5.53
2005/03,5.63
2005/04,5.59
2005/05,5.5
2005/06,5.5
2005/07,5.51
2005/08,5.49
2005/09,5.61
2005/10,5.73
2005/11,5.71
2005/12,5.74
2006/01,5.79
2006/02,5.76
2006/03,5.89
2006/04,5.83
2006/05,5.89
2006/06,5.98
2006/07,6.1
2006/08,6.16
2006/09,6.13
2006/10,6.09
2006/11,6.04
2006/12,6.19
2007/01,6.32
2007/02,6.34
2007/03,6.37
2007/04,6.35
2007/05,6.48
2007/06,6.42
2007/07,6.41
2007/08,6.56
2007/09,6.7
2007/10,6.79
2007/11,6.8
2007/12,7.08
2008/01,7.25
2008/02,6.9
2008/03,6.9
2008/04,6.91
2008/05,6.96
2008/06,7.02
2008/07,7.12
2008/08,7.31
2008/09,7.44
2008/10,7.79
2008/11,7.53
2008/12,6.89
2009/01,5.91
2009/02,5.57
2009/03,5.5
2009/04,5.4
2009/05,5.42
2009/06,5.47
2009/07,5.53
2009/08,5.61
2009/09,5.82
2009/10,5.88
2009/11,5.87
2009/12,5.81
2010/01,5.94
2010/02,5.84
2010/03,5.69
2010/04,5.49
2010/05,5.4
2010/06,5.32
2010/07,5.39
2010/08,5.51
2010/09,5.45
2010/10,5.37
2010/11,5.34
2010/12,5.4
2011/01,5.64
2011/02,5.66
2011/03,5.78
2011/04,5.7
2011/05,5.76
2011/06,5.8
2011/07,5.86
2011/08,5.84
2011/09,5.76
2011/10,5.77
2011/11,5.83
2011/12,5.69
2012/01,5.79
2012/02,5.71
2012/03,5.74
2012/04,5.71
2012/05,5.66
2012/06,5.58
2012/07,5.45
2012/08,5.22
2012/09,5.13
2012/10,4.98
2012/11,4.94
2012/12,4.84
2013/01,5
2013/02,4.91
2013/03,4.77
2013/04,4.73
2013/05,4.62
2013/06,4.52
2013/07,4.6
2013/08,4.55
2013/09,4.54
2013/10,4.46
2013/11,4.5
2013/12,4.52
2014/01,4.53
2014/02,4.45
2014/03,4.46
2014/04,4.42
2014/05,4.4
2014/06,4.4
2014/07,4.39
2014/08,4.18
2014/09,4.14
2014/10,4
2014/11,3.88
2014/12,3.91
2015/01,3.9
2015/02,3.86
2015/03,3.61
2015/04,3.36
2015/05,3.56
2015/06,3.49
