Total actividades primarias,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades primarias> Total actividades primarias"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,285364.565
1993/02,292876.304
1993/03,269416.162
1993/04,334771.769
1994/01,288951.266
1994/02,328951.195
1994/03,257766.625
1994/04,347555.335
1995/01,282333.63
1995/02,295634.998
1995/03,281911.914
1995/04,352622.51
1996/01,309280.927
1996/02,312917.083
1996/03,282013.46
1996/04,368651.928
1997/01,314134.386
1997/02,326840.724
1997/03,271054.296
1997/04,364407.809
1998/01,323536.44
1998/02,321160.38
1998/03,295473.409
1998/04,356476.42
1999/01,361726.745
1999/02,324408.233
1999/03,293105.524
1999/04,364497.965
2000/01,353081.563
2000/02,350999.093
2000/03,280571.785
2000/04,381814.181
2001/01,331599.857
2001/02,363564.025
2001/03,300215.486
2001/04,406802.043
2002/01,339724.295
2002/02,362654.109
2002/03,300948.295
2002/04,393299.032
2003/01,349617.59
2003/02,369671.765
2003/03,308525.055
2003/04,409104.017
2004/01,377570.332
2004/02,378809.031
2004/03,302288.93
2004/04,431927.346
2005/01,350992.144
2005/02,354064.81
2005/03,315501.239
2005/04,398785.698
2006/01,366083.851
2006/02,392066.93
2006/03,311068.714
2006/04,448345.839
2007/01,374300.359
2007/02,405564.677
2007/03,318143.914
2007/04,453521.674
2008/01,362925.766
2008/02,418453.221
2008/03,313597.529
2008/04,476959.416
2009/01,360955.454
2009/02,416310.609
2009/03,309880.735
2009/04,445489.621
2010/01,344512.881
2010/02,427487.748
2010/03,323736.931
2010/04,448484.546
2011/01,345096.818
2011/02,379688.307
2011/03,334259.247
2011/04,449726.794
2012/01,365918.771
2012/02,431457.873
2012/03,334055.552
2012/04,489581.201
2013/01,365849.539
2013/02,440333.697
2013/03,333187.347
2013/04,497028.878
2014/01,375981.279
2014/02,451994.727
2014/03,356778.783
2014/04,504201.891
2015/01,401008.748
2015/02,464001.09
