Importación de bienes y servicios,
Ruta temática,"Cuentas nacionales> Oferta y utilización total de bienes y servicios, base 2008> Series originales> A precios constantes> Valores absolutos> Oferta de bienes y servicios> Importación de bienes y servicios"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2015/01
Cifras revisadas,2011/01
Fecha inicial,2015/01
Fecha final,1993/01
Última actualización,2015/06/19
Periodo,Dato
1993/01,949397.062
1993/02,1020011.671
1993/03,1016182.422
1993/04,1111788.43
1994/01,1134842.364
1994/02,1206565.984
1994/03,1215506.636
1994/04,1279087.181
1995/01,897785.103
1995/02,940418.138
1995/03,981431.165
1995/04,1061624.698
1996/01,1177100.561
1996/02,1279475.209
1996/03,1353515.738
1996/04,1535495.514
1997/01,1334886.848
1997/02,1514457.366
1997/03,1625508.833
1997/04,1737928.694
1998/01,1665011.608
1998/02,1780474.967
1998/03,1765123.629
1998/04,1887878.953
1999/01,1800680.986
1999/02,1991280.075
1999/03,2074361.638
1999/04,2246584.148
2000/01,2237857.553
2000/02,2384011.925
2000/03,2531639.582
2000/04,2670629.343
2001/01,2393676.372
2001/02,2490199.021
2001/03,2385773.19
2001/04,2495183.597
2002/01,2254010.062
2002/02,2570749.813
2002/03,2554883.356
2002/04,2652656.212
2003/01,2385947.766
2003/02,2543041.347
2003/03,2590141.025
2003/04,2753369.538
2004/01,2569640.565
2004/02,2791525.394
2004/03,2827873.38
2004/04,3080914.549
2005/01,2705894.724
2005/02,3000901.808
2005/03,3057451.963
2005/04,3374546.217
2006/01,3098916.61
2006/02,3356095.12
2006/03,3394620.039
2006/04,3526421.475
2007/01,3220434.629
2007/02,3541011.39
2007/03,3634247.143
2007/04,3773328.351
2008/01,3466552.118
2008/02,3796960.011
2008/03,3938853.317
2008/04,3590643.289
2009/01,2747295.55
2009/02,2813177.544
2009/03,3181609.888
2009/04,3449240.842
2010/01,3297368.03
2010/02,3640830.205
2010/03,3812401.118
2010/04,3935185.995
2011/01,3567759.842
2011/02,3970261.963
2011/03,4181321.117
2011/04,4148626.294
2012/01,3861692.184
2012/02,4176386.231
2012/03,4270997.24
2012/04,4426275.805
2013/01,3896866.292
2013/02,4387842.95
2013/03,4421784.945
2013/04,4460923.752
2014/01,4094079.85
2014/02,4532548.168
2014/03,4688499.202
2014/04,4822821.05
2015/01,4366192.767
