Total actividades terciarias,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> Total actividades terciarias"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,4557349.682
1993/02,4608430.232
1993/03,4562428.242
1993/04,4714742.428
1994/01,4736000.997
1994/02,4857566.744
1994/03,4773040.612
1994/04,4990748.849
1995/01,4758451.068
1995/02,4540194.62
1995/03,4492598.79
1995/04,4699964.063
1996/01,4744787.62
1996/02,4754448.563
1996/03,4716297.671
1996/04,4969304.779
1997/01,4925666.631
1997/02,5087194.996
1997/03,5000337.094
1997/04,5287722.187
1998/01,5268949.736
1998/02,5306589.653
1998/03,5212193.107
1998/04,5384944.484
1999/01,5366575.397
1999/02,5453642.601
1999/03,5404716.348
1999/04,5651174.076
2000/01,5723585.164
2000/02,5796913.17
2000/03,5738101.082
2000/04,5912212.783
2001/01,5778709.48
2001/02,5830673.531
2001/03,5688668.93
2001/04,5825270.203
2002/01,5653475.159
2002/02,5880928.958
2002/03,5734868.172
2002/04,5910028.631
2003/01,5824284.473
2003/02,5905261.339
2003/03,5760709.703
2003/04,6011517.969
2004/01,6039021.514
2004/02,6140500.875
2004/03,6042127.367
2004/04,6329998.644
2005/01,6202409.667
2005/02,6384106.409
2005/03,6306580.188
2005/04,6611861.705
2006/01,6579930.913
2006/02,6721064.804
2006/03,6659152.546
2006/04,6900087.045
2007/01,6818878.944
2007/02,6977839.06
2007/03,6974706.462
2007/04,7240108.07
2008/01,7065817.736
2008/02,7272494.079
2008/03,7196216.165
2008/04,7197505.607
2009/01,6775083.411
2009/02,6701279.796
2009/03,6931970.444
2009/04,7202723.689
2010/01,7084372.433
2010/02,7225232.047
2010/03,7299394.405
2010/04,7569058.047
2011/01,7442939.668
2011/02,7517273.714
2011/03,7668689.844
2011/04,7933613.238
2012/01,7829762.546
2012/02,7858768.31
2012/03,7952237.333
2012/04,8302267.955
2013/01,8023779.14
2013/02,8094295.76
2013/03,8185109.823
2013/04,8448179.885
2014/01,8186876.871
2014/02,8250417.228
2014/03,8358608.329
2014/04,8689134.912
2015/01,8429354.365
2015/02,8502516.469
