"93 Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 93 Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,460620.088
1993/02,459865.694
1993/03,463787.494
1993/04,467060.045
1994/01,470336.849
1994/02,469546.342
1994/03,473654.025
1994/04,476952.356
1995/01,465886.28
1995/02,464968.122
1995/03,468792.858
1995/04,472360.516
1996/01,460783.738
1996/02,459547.98
1996/03,463846.931
1996/04,467585.331
1997/01,472442.699
1997/02,471832.495
1997/03,474700.884
1997/04,476228.346
1998/01,458819.983
1998/02,458554.704
1998/03,462000.478
1998/04,466379.803
1999/01,469149.717
1999/02,466609.639
1999/03,468342.857
1999/04,473623.81
2000/01,487344.402
2000/02,484598.521
2000/03,487430.835
2000/04,489921.955
2001/01,457397.787
2001/02,456278.02
2001/03,458724.516
2001/04,461728.301
2002/01,435145.161
2002/02,434596.715
2002/03,437421.449
2002/04,440408.054
2003/01,428412.731
2003/02,442605.445
2003/03,413273.503
2003/04,426129.462
2004/01,421103.909
2004/02,436479.78
2004/03,416357.708
2004/04,437817.858
2005/01,425071.439
2005/02,434756.744
2005/03,433693.596
2005/04,456059.197
2006/01,451994.617
2006/02,455772.676
2006/03,425979.436
2006/04,441628.472
2007/01,432398.152
2007/02,451533.425
2007/03,442078.602
2007/04,470475.909
2008/01,442298.54
2008/02,463518.303
2008/03,448923.358
2008/04,477516.091
2009/01,455150.187
2009/02,482839.99
2009/03,451963.812
2009/04,479451.784
2010/01,462803.249
2010/02,503701.199
2010/03,467894.01
2010/04,480683.409
2011/01,456377.24
2011/02,481188.535
2011/03,458681.022
2011/04,492165.531
2012/01,476497.069
2012/02,510329.924
2012/03,470539.354
2012/04,500757.501
2013/01,469912.063
2013/02,492709.902
2013/03,477150.814
2013/04,509287.013
2014/01,485016.726
2014/02,504394.162
2014/03,488848.208
2014/04,519629.91
2015/01,510885.924
2015/02,523443.453
