Total sector 72,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas> Total sector 72"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,242751.016
1993/02,253499.665
1993/03,267529.189
1993/04,245274.717
1994/01,258880.31
1994/02,270716.122
1994/03,288520.378
1994/04,261881.827
1995/01,236336.091
1995/02,230489.547
1995/03,243461.764
1995/04,236798.594
1996/01,230058.069
1996/02,236089.204
1996/03,245384.006
1996/04,241513.762
1997/01,246132.267
1997/02,251235.489
1997/03,266115.41
1997/04,256244.308
1998/01,255729.692
1998/02,261667.7
1998/03,273463.229
1998/04,261897.637
1999/01,261712.143
1999/02,257211.723
1999/03,274026.415
1999/04,258064.595
2000/01,265633.454
2000/02,271836.357
2000/03,285004.977
2000/04,275312.188
2001/01,272272.817
2001/02,267606.439
2001/03,271007.227
2001/04,252105.93
2002/01,255043.385
2002/02,255496.437
2002/03,259167.441
2002/04,249174.896
2003/01,251178.317
2003/02,253417.169
2003/03,251511.027
2003/04,247592.008
2004/01,256854.517
2004/02,260370.867
2004/03,263059.834
2004/04,260461.214
2005/01,265778.754
2005/02,264497.036
2005/03,270811.667
2005/04,255049.975
2006/01,266718.249
2006/02,268773.777
2006/03,269936.292
2006/04,272101.439
2007/01,278832.151
2007/02,278838.752
2007/03,276342.713
2007/04,276617.28
2008/01,284428.594
2008/02,278554.211
2008/03,279465.424
2008/04,268841.699
2009/01,262880.324
2009/02,231964.881
2009/03,255812.505
2009/04,253611.746
2010/01,255189.87
2010/02,252864.943
2010/03,258603.819
2010/04,256959.728
2011/01,253182.698
2011/02,254692.431
2011/03,264638.914
2011/04,266767.333
2012/01,266873.173
2012/02,268254.111
2012/03,279196.302
2012/04,281473.062
2013/01,276711.325
2013/02,270191.393
2013/03,282988.199
2013/04,285934.419
2014/01,281882.42
2014/02,281556.677
2014/03,288285.198
2014/04,295903.309
2015/01,292018.858
2015/02,294162.583
