55 Corporativos,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 55 Corporativos"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,47305.358
1993/02,56683.014
1993/03,41845.745
1993/04,53066.938
1994/01,46017.883
1994/02,58583.732
1994/03,43354.913
1994/04,53690.604
1995/01,44478.687
1995/02,49687.786
1995/03,37916.871
1995/04,49093.821
1996/01,43699.194
1996/02,52650.039
1996/03,40156.004
1996/04,51422.124
1997/01,46348.197
1997/02,60264.172
1997/03,44949.285
1997/04,57054.804
1998/01,49076.738
1998/02,60294.224
1998/03,45937.561
1998/04,56289.568
1999/01,47513.309
1999/02,58984.39
1999/03,44961.1
1999/04,55139.882
2000/01,50790.537
2000/02,61149.488
2000/03,46910.73
2000/04,55093.048
2001/01,50843.049
2001/02,60299.249
2001/03,45572.599
2001/04,54312.929
2002/01,50659.385
2002/02,61006.003
2002/03,46018.012
2002/04,54822.604
2003/01,54879.507
2003/02,61966.227
2003/03,47994.198
2003/04,59601.811
2004/01,54391.429
2004/02,65666.568
2004/03,50177.789
2004/04,61943.71
2005/01,56512.66
2005/02,64800.083
2005/03,54364.6
2005/04,66903.2
2006/01,65579.137
2006/02,69999.068
2006/03,70813.383
2006/04,66774.096
2007/01,64425.518
2007/02,71052.056
2007/03,71270.48
2007/04,69904.954
2008/01,71058.915
2008/02,77001.391
2008/03,76291.332
2008/04,73050.282
2009/01,61754.9
2009/02,62190.16
2009/03,72883.332
2009/04,76148.204
2010/01,69544.974
2010/02,71930.694
2010/03,71822.533
2010/04,74041.324
2011/01,69425.837
2011/02,72917.97
2011/03,73977.286
2011/04,81210.224
2012/01,71961.695
2012/02,78542.721
2012/03,83080.706
2012/04,89680.166
2013/01,74333.267
2013/02,79725.764
2013/03,84899.731
2013/04,78558.882
2014/01,78869.304
2014/02,82455.246
2014/03,88577.902
2014/04,87993.659
2015/01,76728.462
2015/02,80812.077
