"511 Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas  publicaciones integrada con la impresión",
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 51 Información en medios masivos> 511 Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas  publicaciones integrada con la impresión"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,19311.257
1993/02,17370.101
1993/03,28316.38
1993/04,20946.276
1994/01,20496.435
1994/02,19931.595
1994/03,26819.904
1994/04,19535.22
1995/01,18298.52
1995/02,12962.783
1995/03,18805.891
1995/04,15321.172
1996/01,11904.023
1996/02,11013.313
1996/03,17132.927
1996/04,14582.92
1997/01,13035.678
1997/02,12841.177
1997/03,21478.222
1997/04,16828.791
1998/01,15252.836
1998/02,13517.065
1998/03,22058.679
1998/04,17333.262
1999/01,15803.721
1999/02,15185.753
1999/03,20722.43
1999/04,18261.207
2000/01,18360.781
2000/02,16914.147
2000/03,21110.859
2000/04,19491.977
2001/01,17568.805
2001/02,16930.654
2001/03,19882.054
2001/04,17715.429
2002/01,15314.232
2002/02,16728.363
2002/03,17788.793
2002/04,18936.457
2003/01,15928.673
2003/02,15666.267
2003/03,16045.428
2003/04,18083.284
2004/01,16068.292
2004/02,16503.921
2004/03,16798.298
2004/04,17546.544
2005/01,15864.225
2005/02,16281.922
2005/03,16361.269
2005/04,17692.317
2006/01,15944.617
2006/02,16352.647
2006/03,16517.057
2006/04,17862.879
2007/01,17197.09
2007/02,17780.834
2007/03,17919.505
2007/04,19811.123
2008/01,18399.309
2008/02,19033.85
2008/03,18696.897
2008/04,19971.643
2009/01,17397.369
2009/02,17505.902
2009/03,16972.101
2009/04,17260.832
2010/01,16563.649
2010/02,17424.284
2010/03,17165.526
2010/04,17498.682
2011/01,16972.727
2011/02,17471.447
2011/03,18051.111
2011/04,18749.12
2012/01,17457.531
2012/02,18098.321
2012/03,17982.5
2012/04,18934.387
2013/01,16975.085
2013/02,18150.088
2013/03,17438.164
2013/04,18910.751
2014/01,17342.83
2014/02,16209.061
2014/03,16496.851
2014/04,18105.22
2015/01,16811.369
2015/02,15857.617
