Índice general,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Índice> Índice general y por objeto del gasto> Índice general
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/01
Última actualización,2015/08/07
Periodo,Dato
1969/01,0.015434127
1969/02,0.015489522
1969/03,0.01550481
1969/04,0.015546834
1969/05,0.015546834
1969/06,0.015602236
1969/07,0.015661458
1969/08,0.015678656
1969/09,0.015825754
1969/10,0.015991959
1969/11,0.01599387
1969/12,0.016114224
1970/01,0.016236489
1970/02,0.016234579
1970/03,0.01628234
1970/04,0.016303352
1970/05,0.016337742
1970/06,0.016437085
1970/07,0.016517319
1970/08,0.016593733
1970/09,0.016633854
1970/10,0.016639584
1970/11,0.016729376
1970/12,0.016870743
1971/01,0.017036948
1971/02,0.017107632
1971/03,0.017172585
1971/04,0.017260466
1971/05,0.017296766
1971/06,0.017375091
1971/07,0.017361719
1971/08,0.017520277
1971/09,0.01757759
1971/10,0.017594788
1971/11,0.017623441
1971/12,0.017707502
1972/01,0.017785826
1972/02,0.017841228
1972/03,0.017938661
1972/04,0.018051375
1972/05,0.018087668
1972/06,0.018221394
1972/07,0.018290174
1972/08,0.018410529
1972/09,0.018494583
1972/10,0.018507954
1972/11,0.018628309
1972/12,0.018691359
1973/01,0.018962631
1973/02,0.019119286
1973/03,0.019287402
1973/04,0.019593064
1973/05,0.019801301
1973/06,0.019963679
1973/07,0.020475668
1973/08,0.020804259
1973/09,0.021299049
1973/10,0.021572238
1973/11,0.021837787
1973/12,0.022686001
1974/01,0.023497921
1974/02,0.024029011
1974/03,0.024214326
1974/04,0.02454291
1974/05,0.024735865
1974/06,0.024980395
1974/07,0.025341459
1974/08,0.025608918
1974/09,0.025899299
1974/10,0.026413191
1974/11,0.027146787
1974/12,0.027358844
1975/01,0.027708447
1975/02,0.027861275
1975/03,0.028037031
1975/04,0.02827392
1975/05,0.028652183
1975/06,0.029139332
1975/07,0.029372401
1975/08,0.029626489
1975/09,0.029842359
1975/10,0.029995194
1975/11,0.03020534
1975/12,0.03045178
1976/01,0.031040183
1976/02,0.031620944
1976/03,0.031930427
1976/04,0.032153945
1976/05,0.032379373
1976/06,0.032509278
1976/07,0.032784378
1976/08,0.033097681
1976/09,0.034226731
1976/10,0.036154324
1976/11,0.037787716
1976/12,0.038735272
1977/01,0.039969396
1977/02,0.040851999
1977/03,0.041564577
1977/04,0.0421931
1977/05,0.042563715
1977/06,0.043085254
1977/07,0.043572411
1977/08,0.044466475
1977/09,0.045255474
1977/10,0.045601256
1977/11,0.046099867
1977/12,0.046737941
1978/01,0.047777199
1978/02,0.048463034
1978/03,0.048967375
1978/04,0.049511844
1978/05,0.049997083
1978/06,0.050684828
1978/07,0.05154451
1978/08,0.052058409
1978/09,0.052652541
1978/10,0.053290615
1978/11,0.053838897
1978/12,0.054295484
1979/01,0.056223077
1979/02,0.057031177
1979/03,0.057804886
1979/04,0.058322606
1979/05,0.059086772
1979/06,0.059742037
1979/07,0.060466075
1979/08,0.061381159
1979/09,0.062133857
1979/10,0.063218967
1979/11,0.064032797
1979/12,0.065165661
1980/01,0.068342659
1980/02,0.069922559
1980/03,0.071361092
1980/04,0.07260858
1980/05,0.073793032
1980/06,0.075256398
1980/07,0.077357837
1980/08,0.078960659
1980/09,0.079837539
1980/10,0.081046816
1980/11,0.082452877
1980/12,0.084615448
1981/01,0.08734159
1981/02,0.08948697
1981/03,0.091401185
1981/04,0.09346251
1981/05,0.094876204
1981/06,0.096202023
1981/07,0.097896547
1981/08,0.099913932
1981/09,0.101772751
1981/10,0.104030846
1981/11,0.106032942
1981/12,0.108887079
1982/01,0.114297332
1982/02,0.118788688
1982/03,0.123127202
1982/04,0.129800232
1982/05,0.137096053
1982/06,0.143700303
1982/07,0.151105018
1982/08,0.168061726
1982/09,0.177032969
1982/10,0.186210533
1982/11,0.195624985
1982/12,0.216515209
1983/01,0.240074262
1983/02,0.252958004
1983/03,0.265201761
1983/04,0.281992263
1983/05,0.294222649
1983/06,0.305364105
1983/07,0.320461993
1983/08,0.332900609
1983/09,0.34314609
1983/10,0.35453207
1983/11,0.375353527
1983/12,0.391412349
1984/01,0.41627812
1984/02,0.438247723
1984/03,0.456979195
1984/04,0.476748016
1984/05,0.492556578
1984/06,0.510382524
1984/07,0.52711381
1984/08,0.542097074
1984/09,0.558245688
1984/10,0.577750878
1984/11,0.597578921
1984/12,0.62295859
1985/01,0.669169261
1985/02,0.696969403
1985/03,0.723976733
1985/04,0.746253908
1985/05,0.763932751
1985/06,0.783065408
1985/07,0.81033637
1985/08,0.845762835
1985/09,0.87954062
1985/10,0.912951611
1985/11,0.955072111
1985/12,1.020090675
1986/01,1.110276851
1986/02,1.15963777
1986/03,1.2135378
1986/04,1.276894313
1986/05,1.34785231
1986/06,1.434370512
1986/07,1.50593984
1986/08,1.626004669
1986/09,1.723549709
1986/10,1.822069042
1986/11,1.945171412
1986/12,2.098822995
1987/01,2.268762649
1987/02,2.432470572
1987/03,2.593225021
1987/04,2.820119431
1987/05,3.032724052
1987/06,3.252120148
1987/07,3.515516574
1987/08,3.802838856
1987/09,4.053368746
1987/10,4.391158069
1987/11,4.739467965
1987/12,5.439478729
1988/01,6.28055153
1988/02,6.80439664
1988/03,7.152836449
1988/04,7.372994794
1988/05,7.515648197
1988/06,7.668971189
1988/07,7.796977554
1988/08,7.86870735
1988/09,7.913693455
1988/10,7.974056367
1988/11,8.080769414
1988/12,8.249371787
1989/01,8.451312551
1989/02,8.566001517
1989/03,8.658862254
1989/04,8.788353003
1989/05,8.909317634
1989/06,9.017518878
1989/07,9.107720335
1989/08,9.194488804
1989/09,9.282422617
1989/10,9.419703978
1989/11,9.55192469
1989/12,9.874287533
1990/01,10.35083877
1990/02,10.58522578
1990/03,10.77183558
1990/04,10.93577849
1990/05,11.12661601
1990/06,11.37167642
1990/07,11.57905991
1990/08,11.77635267
1990/09,11.94422145
1990/10,12.11593396
1990/11,12.4376167
1990/12,12.82961936
1991/01,13.15663021
1991/02,13.38630808
1991/03,13.57721055
1991/04,13.71943793
1991/05,13.85355376
1991/06,13.99891993
1991/07,14.12262981
1991/08,14.22091799
1991/09,14.36258563
1991/10,14.52963103
1991/11,14.89040629
1991/12,15.24089786
1992/01,15.51790207
1992/02,15.70175899
1992/03,15.86155633
1992/04,16.00295269
1992/05,16.10846601
1992/06,16.21749445
1992/07,16.31989382
1992/08,16.42015353
1992/09,16.56298842
1992/10,16.6822528
1992/11,16.82085807
1992/12,17.06037067
1993/01,17.27436988
1993/02,17.41550261
1993/03,17.51699835
1993/04,17.61801267
1993/05,17.71872134
1993/06,17.81810227
1993/07,17.90372831
1993/08,17.99955398
1993/09,18.13286363
1993/10,18.20702345
1993/11,18.28732903
1993/12,18.42676723
1994/01,18.56962314
1994/02,18.66512978
1994/03,18.76110447
1994/04,18.85298708
1994/05,18.94407687
1994/06,19.03886902
1994/07,19.12330489
1994/08,19.21243652
1994/09,19.34907599
1994/10,19.45065197
1994/11,19.55463314
1994/12,19.72613932
1995/01,20.46862019
1995/02,21.33613293
1995/03,22.59392133
1995/04,24.3942825
1995/05,25.4138631
1995/06,26.22043406
1995/07,26.75496405
1995/08,27.19875002
1995/09,27.76136288
1995/10,28.33257255
1995/11,29.03120591
1995/12,29.97704506
1996/01,31.05470183
1996/02,31.77950767
1996/03,32.47909623
1996/04,33.40239265
1996/05,34.01123721
1996/06,34.56506223
1996/07,35.05641717
1996/08,35.52236378
1996/09,36.09032576
1996/10,36.54079814
1996/11,37.09443212
1996/12,38.28212794
1997/01,39.26655717
1997/02,39.92640941
1997/03,40.4233045
1997/04,40.860022
1997/05,41.23293212
1997/06,41.59877377
1997/07,41.96117668
1997/08,42.33427784
1997/09,42.86154831
1997/10,43.20408307
1997/11,43.68741432
1997/12,44.29950655
1998/01,45.26330346
1998/02,46.05573748
1998/03,46.5952345
1998/04,47.03118783
1998/05,47.40581731
1998/06,47.9661377
1998/07,48.42864559
1998/08,48.89421013
1998/09,49.68721726
1998/10,50.39922341
1998/11,51.2917624
1998/12,52.54326558
1999/01,53.87012062
1999/02,54.59408022
1999/03,55.10129148
1999/04,55.60697442
1999/05,55.94148549
1999/06,56.3090465
1999/07,56.68119247
1999/08,57.0002293
1999/09,57.55099768
1999/10,57.91550204
1999/11,58.43054594
1999/12,59.01589258
2000/01,59.80832658
2000/02,60.33884472
2000/03,60.6733558
2000/04,61.01856512
2000/05,61.24666691
2000/06,61.60945191
2000/07,61.84978026
2000/08,62.18964046
2000/09,62.64393363
2000/10,63.075302
2000/11,63.61460798
2000/12,64.30330726
2001/01,64.65978794
2001/02,64.61699498
2001/03,65.02639374
2001/04,65.35440947
2001/05,65.50437588
2001/06,65.65930934
2001/07,65.4887106
2001/08,65.87671289
2001/09,66.48995136
2001/10,66.79045731
2001/11,67.04205702
2001/12,67.13490247
2002/01,67.7546363
2002/02,67.71107918
2002/03,68.05743473
2002/04,68.42919862
2002/05,68.56789368
2002/06,68.90221371
2002/07,69.10001172
2002/08,69.36274679
2002/09,69.77995076
2002/10,70.0875094
2002/11,70.65435513
2002/12,70.96191376
2003/01,71.24878459
2003/02,71.44669788
2003/03,71.89769193
2003/04,72.02043955
2003/05,71.78804659
2003/06,71.84735162
2003/07,71.95148021
2003/08,72.16732293
2003/09,72.59693958
2003/10,72.86312262
2003/11,73.46789598
2003/12,73.78372973
2004/01,74.24230931
2004/02,74.68640743
2004/03,74.93948818
2004/04,75.05258149
2004/05,74.86432251
2004/06,74.98431175
2004/07,75.18084586
2004/08,75.64494218
2004/09,76.27040334
2004/10,76.79863185
2004/11,77.45374553
2004/12,77.61373118
2005/01,77.61648956
2005/02,77.87508706
2005/03,78.22609007
2005/04,78.50468579
2005/05,78.30746209
2005/06,78.23229641
2005/07,78.53847586
2005/08,78.63226056
2005/09,78.94740472
2005/10,79.14118045
2005/11,79.71078455
2005/12,80.20039583
2006/01,80.67069849
2006/02,80.7941357
2006/03,80.89550592
2006/04,81.01411598
2006/05,80.65345866
2006/06,80.72310758
2006/07,80.94446705
2006/08,81.35753346
2006/09,82.17883914
2006/10,82.53811727
2006/11,82.97118189
2006/12,83.45113886
2007/01,83.88213471
2007/02,84.11659644
2007/03,84.29864909
2007/04,84.24830877
2007/05,83.83731114
2007/06,83.93799177
2007/07,84.29451153
2007/08,84.63792901
2007/09,85.29511147
2007/10,85.62749547
2007/11,86.23157924
2007/12,86.588099
2008/01,86.98944233
2008/02,87.24803983
2008/03,87.88039693
2008/04,88.080379
2008/05,87.98521512
2008/06,88.34932041
2008/07,88.84169006
2008/08,89.35474751
2008/09,89.96365843
2008/10,90.57670692
2008/11,91.60626978
2008/12,92.24069566
2009/01,92.4544696
2009/02,92.65858923
2009/03,93.19164489
2009/04,93.51782254
2009/05,93.24543317
2009/06,93.41714191
2009/07,93.67160186
2009/08,93.89571969
2009/09,94.36671195
2009/10,94.6522036
2009/11,95.14319406
2009/12,95.53695186
2010/01,96.57547944
2010/02,97.13405005
2010/03,97.8236434
2010/04,97.5119472
2010/05,96.89751953
2010/06,96.86717743
2010/07,97.0775034
2010/08,97.34713439
2010/09,97.85743347
2010/10,98.46151724
2010/11,99.25041203
2010/12,99.74209209
2011/01,100.228
2011/02,100.604
2011/03,100.797
2011/04,100.789
2011/05,100.046
2011/06,100.041
2011/07,100.521
2011/08,100.68
2011/09,100.927
2011/10,101.608
2011/11,102.707
2011/12,103.551
2012/01,104.284
2012/02,104.496
2012/03,104.556
2012/04,104.228
2012/05,103.899
2012/06,104.378
2012/07,104.964
2012/08,105.279
2012/09,105.743
2012/10,106.278
2012/11,107
2012/12,107.246
2013/01,107.678
2013/02,108.208
2013/03,109.002
2013/04,109.074
2013/05,108.711
2013/06,108.645
2013/07,108.609
2013/08,108.918
2013/09,109.328
2013/10,109.848
2013/11,110.872
2013/12,111.508
2014/01,112.505
2014/02,112.79
2014/03,113.099
2014/04,112.888
2014/05,112.527
2014/06,112.722
2014/07,113.032
2014/08,113.438
2014/09,113.939
2014/10,114.569
2014/11,115.493
2014/12,116.059
2015/01,115.954
2015/02,116.174
2015/03,116.647
2015/04,116.345
2015/05,115.764
2015/06,115.958
2015/07,116.128
